,_id,coc,con,brc,brn,OC,BC,BCM,MBC,SC,SCA,ST
29,6452f7164492547a9de13fd6,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AE,AERONAUTICAL ENGINEERING,3080,4736,5490,7868,10932,30744,
30,6452f7164492547a9de13fd8,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),1108,1405,2142,2258,9090,26200,
31,6452f7164492547a9de13fd9,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AU,AUTOMOBILE ENGINEERING,6099,11606,20594,13393,30858,42114,
32,6452f7164492547a9de13fda,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CM,COMPUTER SCIENCE AND ENGINEERING (SS),598,730,1406,1527,6547,17603,
33,6452f7164492547a9de13fdc,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CS,COMPUTER SCIENCE AND ENGINEERING,350,615,973,1007,4798,14822,
34,6452f7164492547a9de13fdb,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,757,1001,2693,1787,7227,23336,23593
35,6452f7164492547a9de13fdd,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,1708,2331,6152,5044,15909,,31497
36,6452f7164492547a9de13fde,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),1034,1344,2082,2385,9254,20232,12313
37,6452f7164492547a9de13fdf,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",IM,INFORMATION TECHNOLOGY (SS),877,1143,2027,2354,11156,19371,15765
38,6452f7164492547a9de13fe0,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",PR,PRODUCTION ENGINEERING,9437,14519,15208,18488,31714,44052,37548
