,Unnamed: 0,_id,coc,con,brc,brn,OC,BC,BCM,MBC,SC,SCA,ST,year
0,0,6452f7164492547a9de13fba,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,BIO MEDICAL ENGINEERING  (SS),2185,4606.0,3299.0,5537.0,12621.0,22764.0,3890.0,2022
1,1,6452f7164492547a9de13fbe,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CE,CIVIL  ENGINEERING,3937,6219.0,11998.0,9441.0,16167.0,28667.0,,2022
2,2,6452f7164492547a9de13fbb,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,COMPUTER SCIENCE AND ENGINEERING (SS),139,227.0,709.0,663.0,3330.0,8459.0,9198.0,2022
3,3,6452f7164492547a9de13fbc,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,COMPUTER SCIENCE AND ENGINEERING,22,102.0,318.0,291.0,1013.0,1121.0,,2022
4,4,6452f7164492547a9de13fbd,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,180,326.0,829.0,773.0,3692.0,14390.0,,2022
5,5,6452f7164492547a9de13fbf,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,1012,1561.0,3348.0,2407.0,8578.0,18228.0,,2022
6,6,6452f7164492547a9de13fc1,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),476,585.0,2299.0,1623.0,6489.0,,10795.0,2022
7,7,6452f7164492547a9de13fc0,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GI,GEO INFORMATICS,4669,8176.0,9880.0,8842.0,23803.0,19509.0,,2022
8,8,6452f7164492547a9de13fc2,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IE,INDUSTRIAL ENGINEERING,6317,10419.0,17154.0,14049.0,27211.0,15018.0,47733.0,2022
9,9,6452f7164492547a9de13fc3,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,INFORMATION TECHNOLOGY (SS),359,559.0,1182.0,1706.0,5635.0,11014.0,14024.0,2022
