,_id,coc,con,brc,brn,OC,BC,BCM,MBC,SC,SCA,ST
0,62b0bac3705ac3b5decdd0e6,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,Bio- Medical Engineering (SS),1496,2720,3672,4055,7906,25598,18804
1,62b0bac3705ac3b5decdd0e5,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CE,Civil Engineering,2091,3291,3253,5369,7573,7796,9988
2,62b0bac3705ac3b5decdd0ec,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,Computer Science and Engineering (SS),239,409,635,1182,4217,8033,5858
3,62b0bac3705ac3b5decdd0ed,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,Computer Science and Engineering,35,105,176,364,1030,646,301
4,62b0bac3705ac3b5decdd0e7,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,Electronics and Communication Engineering,163,434,1115,1039,2343,5412,3924
5,62b0bac3705ac3b5decdd0ef,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,Electrical and Electronics Engineering,676,1223,860,1722,3794,2019,11168
6,62b0bac3705ac3b5decdd0f0,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,Electronics and Communication Engg. (SS),653,1097,1770,2631,6257,17903,18794
7,62b0bac3705ac3b5decdd0ee,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GI,Geo-Informatics,3110,4640,7502,6162,13822,8711,9532
8,62b0bac3705ac3b5decdd0f2,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IE,Industrial Engineering,3434,5026,5395,8790,14415,26821,
9,62b0bac3705ac3b5decdd0e8,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,Information Tech. (SS),685,1123,1853,2525,8575,20447,15438
10,62b0bac3705ac3b5decdd0e9,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MA,Material Science and Engineering (SS),4648,6217,9942,9889,19871,37865,
11,62b0bac3705ac3b5decdd0ea,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ME,Mechanical Engineering,1211,2100,2943,3610,6812,22994,11505
12,62b0bac3705ac3b5decdd0eb,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MI,Mining Engineering,6172,8905,12475,12034,17256,33721,
13,62b0bac3705ac3b5decdd0f1,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MN,Manufacturing Engineering,5115,6329,9642,9744,16326,36118,
14,62b0bac3705ac3b5decdd0f3,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",PT,Printing Technology,9469,11148,16675,15583,17979,49368,
15,62b0bac3705ac3b5decdd0f6,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XC,Civil Engineering (Tamil Medium),12078,19415,19737,16546,29895,25217,
16,62b0bac3705ac3b5decdd0f4,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XM,Mechanical Engineering (Tamil Medium),10781,20055,29795,15003,21472,,42426
17,62b0bac3705ac3b5decdd3c5,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",AP,Apparel Technology (SS),20011,23155,34778,29880,38390,65836,
18,62b0bac3705ac3b5decdd3c6,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CH,Chemical Engineering,2006,3402,5500,7083,12613,34301,6683
19,62b0bac3705ac3b5decdd3c8,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CL,Chemical Engineering (SS),3776,5288,6372,10591,23162,44832,
20,62b0bac3705ac3b5decdd3c9,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CR,Ceramic Technology (SS),16621,23084,30974,25309,39858,61407,
21,62b0bac3705ac3b5decdd3ca,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",FS,Food Technology (SS),5099,7072,8535,12014,13672,32101,54278
22,62b0bac3705ac3b5decdd3cb,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",IB,Industrial Bio-Technology,1020,1995,5169,6773,12915,27935,
23,62b0bac3705ac3b5decdd3cc,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",IS,Industrial Bio-Tech. (SS),1978,3055,6233,10050,16756,38634,
24,62b0bac3705ac3b5decdd3ce,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",LE,Leather Technology,17083,20662,20709,27496,33309,57357,68140
25,62b0bac3705ac3b5decdd3cd,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PM,Pharmaceutical Tech (SS),7634,10577,12524,18467,26166,45981,13521
26,62b0bac3705ac3b5decdd3cf,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PP,Petroleum Engineering and Technology (SS),10477,14163,11868,18157,31237,50508,
27,62b0bac3705ac3b5decdd3d0,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",TX,Textile Technology,12306,18543,24147,25677,35144,49643,44019
28,62b0bac5705ac3b5decdd8c3,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AE,Aeronautical Engineering,1267,2636,3701,4417,7099,20215,
29,62b0bac5705ac3b5decdd8c4,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AS,Automobile Engineering (SS),6702,8896,6627,13106,19127,40614,
30,62b0bac5705ac3b5decdd8c5,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AU,Automobile Engineering,4125,5596,5638,9046,13779,15749,26327
31,62b0bac5705ac3b5decdd8c6,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CM,Computer Science and Engineering (SS),713,1169,1095,2219,6078,20295,16644
32,62b0bac5705ac3b5decdd8c7,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CS,Computer Science and Engineering,351,536,903,1413,3461,6677,
33,62b0bac5705ac3b5decdd8c9,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EC,Electronics and Communication Engineering,798,1172,2089,2732,4335,12988,7949
34,62b0bac5705ac3b5decdd8c8,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EI,Electronics and Instrumentation Engineering,1956,2711,3998,5165,11927,26975,
35,62b0bac5705ac3b5decdd8ca,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EM,Electronics and Communication Engg. (SS),1462,1830,3233,3850,11754,23181,51442
36,62b0bac5705ac3b5decdd8cb,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",IM,Information Tech. (SS),1341,1700,2851,3536,12206,26450,28977
37,62b0bac5705ac3b5decdd8cc,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",MF,Mechanical Engg. (SS),2275,3021,3857,5860,13591,29440,43109
38,62b0bac5705ac3b5decdd8cd,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",PR,Production Engineering,5320,7037,7921,12236,19623,44445,40351
39,62b0bac5705ac3b5decdd8ce,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",RP,Rubber and Plastic Tech.,9906,13592,25593,19604,28592,53765,71766
